# The 1.12.1 client's FrameScript events fired from inside a Lua verb, keyed by the verb.
# Generated by scripts/gen-reference-verb-events.py from reference/1.12-shapes.tsv,
# reference/1.12-event-firesites.tsv and the maintainer's analysis.
#
# shape  body   = a fire site inside the verb's own extent.
#        helper = a fire site inside a function that only registered verbs call
#                 (at most 8 of them); `via` is that helper. A helper with any
#                 non-verb caller produces a state event and is not here.
# sites  the fire sites themselves.
# A floor, not a census: a verb with no row may still fire an event.
# A site past its candidate function's extent is left out rather than mis-filed.
# 43 pairs over 41 verbs and 27 events; 2 site(s) past a verified extent.
verb	event	shape	via	sites
AddSkillUp	SKILL_LINES_CHANGED	helper	0x4d32d0	0x4d346f
CancelSkillUps	SKILL_LINES_CHANGED	body	-	0x4d3e3a
ChangeActionBarPage	ACTIONBAR_PAGE_CHANGED	body	-	0x4e7655
ChangeChatColor	UPDATE_CHAT_COLOR	body	-	0x4a098b
CheckInbox	MAIL_INBOX_UPDATE	body	-	0x4aeaf8
ClickAuctionSellItemButton	NEW_AUCTION_UPDATE	body	-	0x4ce576
ClickSendMailItemButton	MAIL_SEND_INFO_UPDATE	body	-	0x4ae0de
ClickTargetTradeButton	TRADE_REPLACE_ENCHANT	helper	0x496170	0x496230
CloseCraft	CRAFT_CLOSE	helper	0x4f5fe0	0x4f5fef
CloseTrade	PLAYER_TRADE_MONEY	body	-	0x4bfdce
CloseTradeSkill	TRADE_SKILL_CLOSE	helper	0x4fc870	0x4fc884
CollapseCraftSkillLine	CRAFT_UPDATE	helper	0x4f6be0	0x4f6bf0
CollapseQuestHeader	QUEST_LOG_UPDATE	helper	0x4ded30	0x4ded98|0x4dedba|0x4dedd6
CollapseTradeSkillSubClass	TRADE_SKILL_UPDATE	helper	0x4fd750	0x4fd765
CollapseTrainerSkillLine	TRAINER_UPDATE	helper	0x4d8cd0	0x4d8ce0
ConfirmLootRoll	CANCEL_LOOT_ROLL	helper	0x61bdf0	0x61bf2a
ConfirmLootRoll	CONFIRM_LOOT_ROLL	helper	0x61bdf0	0x61be8b
DoTradeSkill	UPDATE_TRADESKILL_RECAST	helper	0x4fd770	0x4fd781
DropCursorMoney	PLAYER_MONEY	helper	0x494cc0	0x494d10
ExpandCraftSkillLine	CRAFT_UPDATE	helper	0x4f6be0	0x4f6bf0
ExpandQuestHeader	QUEST_LOG_UPDATE	helper	0x4ded30	0x4ded98|0x4dedba|0x4dedd6
ExpandTradeSkillSubClass	TRADE_SKILL_UPDATE	helper	0x4fd750	0x4fd765
ExpandTrainerSkillLine	TRAINER_UPDATE	helper	0x4d8cd0	0x4d8ce0
PetDismiss	PET_DISMISS_START	helper	0x4bd6e0	0x4bd722
PickupPlayerMoney	PLAYER_MONEY	helper	0x494cc0	0x494d10
PickupTradeMoney	PLAYER_MONEY	helper	0x494cc0	0x494d10
RemoveSkillUp	SKILL_LINES_CHANGED	helper	0x4d3480	0x4d3598
RollOnLoot	CANCEL_LOOT_ROLL	helper	0x61bdf0	0x61bf2a
RollOnLoot	CONFIRM_LOOT_ROLL	helper	0x61bdf0	0x61be8b
SelectGossipOption	GOSSIP_ENTER_CODE	helper	0x4e2320	0x4e237e
SendMail	MAIL_SEND_INFO_UPDATE	body	-	0x4ae98d
SetBinding	UPDATE_BINDINGS	body	-	0x4b805b
SetCVar	CVAR_UPDATE	body	-	0x488cd5
SetGuildRecruitmentMode	UPDATE_CHAT_WINDOWS	body	-	0x4a00a9
SetSendMailCOD	SEND_MAIL_COD_CHANGED	helper	0x4adc70	0x4adc88
SetSendMailMoney	SEND_MAIL_MONEY_CHANGED	helper	0x4adbe0	0x4adc44
SetTradeSkillInvSlotFilter	TRADE_SKILL_UPDATE	helper	0x4fd730	0x4fd745
SetTradeSkillSubClassFilter	TRADE_SKILL_UPDATE	helper	0x4fd710	0x4fd725
SetTrainerServiceTypeFilter	TRAINER_UPDATE	helper	0x4d8c90	0x4d8ca0
SetTrainerSkillLineFilter	TRAINER_UPDATE	helper	0x4d8cb0	0x4d8cc0
SortWho	WHO_LIST_UPDATE	body	-	0x5ad9f2
TogglePetAutocast	PET_BAR_UPDATE	helper	0x4bcbb0	0x4bcc81
ToggleSpellAutocast	PET_BAR_UPDATE	helper	0x4bccb0	0x4bcdcb
